Risk Kodu,Kategori,Öneri Metni,Vars. P,Vars. Ş
DTR16,Yetersiz Saha Verileri,DTR16,,
FİR01,Demoraj,FİR01,,
FİR02,Nakit Akış ve Kredi,FİR02,,
FİR03,Proje Maliyet Artışı,FİR03,,
FİR04,Sigorta,FİR04,,
FİR05,Yüksek Enflasyon Ve Dalgalı Döviz Kurları,FİR05,,
GER01,Dengesiz Zemin Veya Beklenmeyen Zemin Davranışı,GER01,,
GER02,Deniz dibi patlatma veya çatlatma gerekliliği,GER02,,
GER03,Foraj gereksinimi ve zeminin buna uygun olmaması,GER03,,
GER04,Geoteknik test laboratuarı gerekliliği,GER04,,
GER05,Güvenilir Olmayan Bölgesel Jeolojik Bilgiler,GER05,,
GER06,İnşaat Sırasında Sürpriz Zemin Durumu,GER06,,
GER07,Kazık Yerleşim Alanı Boyunca Sert Kaya Olması,GER07,,
GER08,Kazık Yerleşim Alanı Boyunca Yumuşak Zemin Olması,GER08,,
GER09,Zayıf Geoteknik Araştırma,GER09,,
GER10,Zemin Katmanlarını Doğru Tahmin Edememek,GER10,,
POR01,Deprem,POR01,,
POR02,Grev,POR02,,
POR03,Gümrük,POR03,,
POR04,Mevzuat Değişikliği,POR04,,
POR05,Politik Baskı,POR05,,
POR06,Politik Değişimler,POR06,,
POR07,Salgın,POR07,,
POR08,Savaş,POR08,,
POR09,Yargı kararları (yürütmeyi durdurma vs.),POR09,,
SOR01,Belirsiz Sözleşme Koşulları,SOR01,,
SOR02,Bürakratik süreçlerin uzaması nedeniyle oluşabilecek Taşeronun Claim talep etmesi,SOR02,,
SOR03,Deniz ekipmanlarının millileştirilmesinin gerekmesi,SOR03,,
SOR04,Garanti Süresi,SOR04,,
SOR05,Hakediş Ödemelerindeki Gecikmeler,SOR05,,
SOR06,Onay süreçlerine ait problemler,SOR06,,
SOR07,Proje onay sorumluluğunun üstlenilmesi,SOR07,,
SOR08,Sözleşme Dışı Talepler,SOR08,,
SOR09,Sözleşme Süresi Riski,SOR09,,
SOR10,Sözleşme Yönetimi Konusunda Deneyimli Teknik Eleman Eksikliği,SOR10,,
SOR11,Sözleşmede Belirtilen İş Kapsamındaki Değişiklikler,SOR11,,
SOR12,Sözleşmede Yetersiz Teknik Detay,SOR12,,
SOR13,Yüksek standartlı uygulama şartları,SOR13,,
TYR01,Altyüklenicideki Teknik Personellerin Sirkülasyonu,TYR01,,
TYR02,Kullanılacak Malzemenin Üretim Periyodu,TYR02,,
TYR03,Malzeme Çalınması ve Hasarlanması,TYR03,,
TYR04,Malzeme Garanti Süresi,TYR04,,
TYR05,Malzeme Tedarik Gecikmeleri,TYR05,,
TYR06,Malzeme Yetersizliği,TYR06,,
TYR07,"Malzeme Yetersizliği Nedeniyle, Alt Yüklenici Finansal Talepleri",TYR07,,
TYR08,Mevcut ekipmanların durum değerlendirmesinin yapılması,TYR08,,
TYR09,Mobilizasyon ve demobilizasyon sorunları,TYR09,,
TYR10,Proje malzemelerinin stok alanı ve stoklanma koşulları,TYR10,,
TYR11,Sarf Malzemelerin Yerel Pazardan Temini,TYR11,,
TYR12,Taşerona verilecek kamp ve proje sahası gerekliliği,TYR12,,
TYR13,Tedarik Sorunu Nedeniyle Arızalı Ekipman Parçalarının Gecikmesi,TYR13,,
TYR14,Tedarikçi Ve Altyüklenicilerin Finansal İstikrarı,TYR14,,
TYR15,Tedarikçi Ve Altyüklenicinin Müh. Kapasitesinin Yetersizliği,TYR15,,
TYR16,Yanlış Malzeme Seçimi,TYR16,,
TYR17,Yanlış Satın Alma Stratejilerinin Kullanılması,TYR17,,
TYR18,Yurt dışından gelecek olan malzemelerin tedariğinde sorun yaşanması,TYR18,,
YÖR01,Altyüklenici Sayısının Yetersiz Olması,YÖR01,,
YÖR02,İşi yapacak ekipmanların müsaitliği,YÖR02,,
YÖR03,İşveren ve altyüklenici arasındaki koordinasyonsuzluk,YÖR03,,
YÖR04,İşverenin iflası,YÖR04,,
YÖR05,Müşteri Gereksinimlerinin Uygun Olmayan Şekilde Belirlenmesi,YÖR05,,
YÖR06,Oluşan Anlaşmazlıkların Çözümünde Gecikme,YÖR06,,
YÖR07,Proje onayındaki bürakratik süreçlerin uzaması,YÖR07,,
YÖR08,Proje Partnerleri Arasında Çatışma,YÖR08,,
YÖR09,Proje Yöneticisinin Yetkinliği,YÖR09,,
YÖR10,Proje yönetim modelinin doğru seçilmesi,YÖR10,,
YÖR11,Talimatların Sağlıksız Verilmesi,YÖR11,,
YÖR12,Yeni Bir Sorunun Ortaya Çıkması Durumunda Finansman Eksikliği,YÖR12,,
YÖR13,Yeni Paydaşların Projeye Dahil Edilmesi ve Change Order Talepleri,YÖR13,,
YÖR14,Yetersiz risk yönetim planı,YÖR14,,
